rank,h53_token_id,slice1_anchor_token_id,cosine_similarity,slice1_usage_proxy,slice1_inbound_map_mass,h53_l2_delta_if_top_shifted,stability_score_proxy,stability_band,provisional_gloss
35,163,639,0.9491283893585205,0.0004913852899335325,0.1014999970793724,0.0,0.9745641946792603,high,ANCHOR_639
36,372,639,0.949051022529602,0.0004913852899335325,0.1014999970793724,0.0,0.974525511264801,high,ANCHOR_639
37,1773,639,0.949037492275238,0.0004913852899335325,0.1014999970793724,0.0,0.974518746137619,high,ANCHOR_639
38,1943,639,0.9490373134613037,0.0004913852899335325,0.1014999970793724,0.0,0.9745186567306519,high,ANCHOR_639
39,1894,639,0.9490372538566589,0.0004913852899335325,0.1014999970793724,0.0,0.9745186269283295,high,ANCHOR_639
40,1991,639,0.9490371942520142,0.0004913852899335325,0.1014999970793724,0.0,0.9745185971260071,high,ANCHOR_639
41,460,639,0.9490289092063904,0.0004913852899335325,0.1014999970793724,0.0,0.9745144546031952,high,ANCHOR_639
42,1620,639,0.9490249752998352,0.0004913852899335325,0.1014999970793724,0.0,0.9745124876499176,high,ANCHOR_639
43,935,639,0.9490053057670593,0.0004913852899335325,0.1014999970793724,0.0,0.9745026528835297,high,ANCHOR_639
44,1626,639,0.9489631056785583,0.0004913852899335325,0.1014999970793724,0.0,0.9744815528392792,high,ANCHOR_639
45,1699,639,0.9488545060157776,0.0004913852899335325,0.1014999970793724,0.0,0.9744272530078888,high,ANCHOR_639
46,1807,639,0.9488203525543213,0.0004913852899335325,0.1014999970793724,0.0,0.9744101762771606,high,ANCHOR_639
47,1014,639,0.9488173127174377,0.0004913852899335325,0.1014999970793724,0.0,0.9744086563587189,high,ANCHOR_639
48,1760,639,0.9486287236213684,0.0004913852899335325,0.1014999970793724,0.0,0.9743143618106842,high,ANCHOR_639
49,1711,639,0.9486269354820251,0.0004913852899335325,0.1014999970793724,0.0,0.9743134677410126,high,ANCHOR_639
50,313,639,0.9483853578567505,0.0004913852899335325,0.1014999970793724,0.0,0.9741926789283752,high,ANCHOR_639
51,1841,639,0.9483366012573242,0.0004913852899335325,0.1014999970793724,0.0,0.9741683006286621,high,ANCHOR_639
52,1793,639,0.9483362436294556,0.0004913852899335325,0.1014999970793724,0.0,0.9741681218147278,high,ANCHOR_639
53,1483,639,0.9482004642486572,0.0004913852899335325,0.1014999970793724,0.0,0.9741002321243286,high,ANCHOR_639
54,1781,639,0.9479866027832031,0.0004913852899335325,0.1014999970793724,0.0,0.9739933013916016,high,ANCHOR_639
55,1848,639,0.9479857087135315,0.0004913852899335325,0.1014999970793724,0.0,0.9739928543567657,high,ANCHOR_639
56,1898,639,0.9479853510856628,0.0004913852899335325,0.1014999970793724,0.0,0.9739926755428314,high,ANCHOR_639
57,1947,639,0.9479849934577942,0.0004913852899335325,0.1014999970793724,0.0,0.9739924967288971,high,ANCHOR_639
58,1134,639,0.9479198455810547,0.0004913852899335325,0.1014999970793724,0.0,0.9739599227905273,high,ANCHOR_639
59,1736,639,0.9477537870407104,0.0004913852899335325,0.1014999970793724,0.0,0.9738768935203552,high,ANCHOR_639
60,1784,639,0.9477506279945374,0.0004913852899335325,0.1014999970793724,0.0,0.9738753139972687,high,ANCHOR_639
61,1102,639,0.9476957321166992,0.0004913852899335325,0.1014999970793724,0.0,0.9738478660583496,high,ANCHOR_639
62,1072,639,0.9472945332527161,0.0004913852899335325,0.1014999970793724,0.0,0.973647266626358,high,ANCHOR_639
63,1104,639,0.9472070932388306,0.0004913852899335325,0.1014999970793724,0.0,0.9736035466194153,high,ANCHOR_639
64,1278,639,0.9471882581710815,0.0004913852899335325,0.1014999970793724,0.0,0.9735941290855408,high,ANCHOR_639
